,0,1,2,3,4
0,aerosol_can,a dispenser that holds a substance under pressure,"['aerosol_can', 'spray_can']",1,0
1,air_conditioner,a machine that keeps air cool and dry,['air_conditioner'],2,0
2,airplane,an aircraft that has a fixed wing and is powered by propellers or jets,"['airplane', 'aeroplane']",3,0
3,alarm_clock,a clock that wakes a sleeper at some preset time,['alarm_clock'],4,0
4,alcohol,a liquor or brew containing alcohol as the active agent,"['alcohol', 'alcoholic_beverage']",5,0
5,alligator,amphibious reptiles related to crocodiles but with shorter broader snouts,"['alligator', 'gator']",6,0
6,almond,oval-shaped edible seed of the almond tree,['almond'],7,0
7,ambulance,a vehicle that takes people to and from hospitals,['ambulance'],8,0
8,amplifier,electronic equipment that increases strength of signals,['amplifier'],9,0
9,anklet,an ornament worn around the ankle,"['anklet', 'ankle_bracelet']",10,0
10,antenna,an electrical device that sends or receives radio or television signals,"['antenna', 'aerial', 'transmitting_aerial']",11,0
11,apple,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh,['apple'],12,0
12,applesauce,puree of stewed apples usually sweetened and spiced,['applesauce'],13,0
13,apricot,downy yellow to rosy-colored fruit resembling a small peach,['apricot'],14,0
14,apron,a garment of cloth that is tied about the waist and worn to protect clothing,['apron'],15,0
15,aquarium,a tank/pool/bowl filled with water for keeping live fish and underwater animals,"['aquarium', 'fish_tank']",16,0
16,arctic_(type_of_shoe),a waterproof overshoe that protects shoes from water or snow,"['arctic_(type_of_shoe)', 'galosh', 'golosh', 'rubber_(type_of_shoe)', 'gumshoe']",17,0
17,armband,a band worn around the upper arm,['armband'],18,0
18,armchair,chair with a support on each side for arms,['armchair'],19,0
19,armoire,a large wardrobe or cabinet,['armoire'],20,0
20,armor,protective covering made of metal and used in combat,"['armor', 'armour']",21,0
21,artichoke,a thistlelike flower head with edible fleshy leaves and heart,['artichoke'],22,0
22,trash_can,a bin that holds rubbish until it is collected,"['trash_can', 'garbage_can', 'wastebin', 'dustbin', 'trash_barrel', 'trash_bin']",23,0
23,ashtray,a receptacle for the ash from smokers' cigars or cigarettes,['ashtray'],24,0
24,asparagus,edible young shoots of the asparagus plant,['asparagus'],25,0
25,atomizer,a dispenser that turns a liquid (such as perfume) into a fine mist,"['atomizer', 'atomiser', 'spray', 'sprayer', 'nebulizer', 'nebuliser']",26,0
26,avocado,a pear-shaped fruit with green or blackish skin and rich yellowish pulp enclosing a single large seed,['avocado'],27,0
27,award,a tangible symbol signifying approval or distinction,"['award', 'accolade']",28,0
28,awning,a canopy made of canvas to shelter people or things from rain or sun,['awning'],29,0
29,ax,an edge tool with a heavy bladed head mounted across a handle,"['ax', 'axe']",30,0
30,baboon,large terrestrial monkeys having doglike muzzles,['baboon'],31,0
31,baby_buggy,a small vehicle with four wheels in which a baby or child is pushed around,"['baby_buggy', 'baby_carriage', 'perambulator', 'pram', 'stroller']",32,0
32,basketball_backboard,a raised vertical board with basket attached; used to play basketball,['basketball_backboard'],33,0
33,backpack,a bag carried by a strap on your back or shoulder,"['backpack', 'knapsack', 'packsack', 'rucksack', 'haversack']",34,0
34,handbag,a container used for carrying money and small personal items or accessories,"['handbag', 'purse', 'pocketbook']",35,0
35,suitcase,cases used to carry belongings when traveling,"['suitcase', 'baggage', 'luggage']",36,0
36,bagel,glazed yeast-raised doughnut-shaped roll with hard crust,"['bagel', 'beigel']",37,0
37,bagpipe,a tubular wind instrument; the player blows air into a bag and squeezes it out,['bagpipe'],38,0
38,baguet,narrow French stick loaf,"['baguet', 'baguette']",39,0
39,bait,something used to lure fish or other animals into danger so they can be trapped or killed,"['bait', 'lure']",40,0
40,ball,a spherical object used as a plaything,['ball'],41,0
41,ballet_skirt,very short skirt worn by ballerinas,"['ballet_skirt', 'tutu']",42,0
42,balloon,large tough nonrigid bag filled with gas or heated air,['balloon'],43,0
43,bamboo,woody tropical grass having hollow woody stems,['bamboo'],44,0
44,banana,elongated crescent-shaped yellow fruit with soft sweet flesh,['banana'],45,0
